Disease,Feature,Description
Leaf Hopper Jassids,Insecticides,"formulations based on malathion and cypernethrin (dosage: 1mL/Litre)
Chlorantraniliprole + lambda-cyhalothrin (dosage: 0.5mL/Litre) 
Katyayani Fipronil 5% SC
Thiamethoxam
Imidacloprid 
Dimethoate 30 EC (dosage: 1mL/Litre)
Methyl-Demeton 25EC (dosage: 1.2mL/Litre)
Imidacloprid 17.8 EC(dosage: 0.4mL/Litre)
Thiomethoxam 25WG (dosage: 0.3gram/Litre)
Cypermethrin (dosage: 1mL/Litre , 1 or 2 times)
carbofuran 3%CG (dosage:25 kg/ha)
Imidacloprid 200 SL (dosage:100 ml/ha)
Phosphamidon 40 SL(dosage:600 ml/ha)
Acetamiprid 20%SP (dosage:50 g/ha)
Azadirachtin 0.03%WSP (dosage:500-1000 g/ha)
Buprofezin 25% SC (dosage:1000 ml/ha)
Clothianidin 50%WDG (dosage:30-40 kg/ha)
Diafenthiuron 50%WP (dosage:600 g/ha)
Dimethoate 30%EC  (dosage: 660 ml/ha)
Fipronil 5%SC (dosage:1500-2000 ml/ha)
Methyl demeton 25% EC  (dosage:1200 ml/ha)
Phosalone 35%EC  (dosage:857 ml/ha)
Profenofos 50% EC  (dosage:1000 ml/ha)
Thiacloprid 21.7% SC  (dosage:100-125 ml/ha)
Thiamethoxam 30% FS (dosage:10 kg/ha)
Thiamethoxam 25%WG  (dosage:100 g/ha)
NSKE 5%  (dosage:25 kg/ha)
Acephate 75% SP (dosage: Apply 292 g of active ingredient per hectare using 390 g/ml of formulation diluted in 500-1000 liters of water, with a waiting period of 15 days before harvest.) "
Leaf Hopper Jassids,Pesticides,"Insecticide (dosage: 1.5 ml/Litre)
Acephate + Imidacloprid (dosage: 2 g/Litre)
Lambda-cyhalothrin + Thiamethoxam (dosage: 0.5 ml/Litre or 80 ml/acre)
Thiamethoxam 25% WG (dosage: 200 g/ha)
Pyriproxyfen + Diafenthiuron (dosage: 200–400 ml/200 litres of water)
Acetamiprid 20% SP (dosage: 60–80 g/acre)
Insecticide (dosage: 400–500 ml/acre)
Diafenthiuron + Acetamiprid (dosage: 200–250 g/acre)
Monocrotophos 36 WSC (dosage: 1000 ml/ha)
Neem Seed Kernel Extract 5% (50 g ground neem seed kernels per liter of water; dosage: 25 kg/ha)
Endosulfan 35 EC (dosage: 0.75 ml/Litre of water per hectare)
Sulfoxaflor 21.8 SC (dosage: 1 ml/Litre of water)
Clothianidin (dosage: 0.3 g/Litre of water)"
Leaf Hopper Jassids,Preventive_measeures,"Choosing resistant varieties
Crop rotation by choosing this species that can resist pests
most favourable growth period for the plant, especially April-May
Maintain a balanced fertilization and especially do not apply excessive nitrogen.
Early sowing and close spacing of cotton"
,,
Curl Virus,Symptoms,"thickening of the vein.
exhibit yellowing of small veins on the lower surface and leaf curling
a cup-shaped leaf-like outgrowth is sometimes produced on the underside of the curled leaves
Leaves curl upwards and the plant vigour reduces
Leaves become shiny with honeydew or darkened by sooty mould growing on honeydew
may show yellowing or chlorosis, particularly along the veins.
Infected plant give bushy appearance
sweeling of veins
leathery texture of leaves
Downward and upward curling of leaves and thickening of veins and enation on underside of leaves"
Curl Virus,Favorable_Conditions,"tends to be more prevalent in regions with warm and tropical climates (25 – 30°C), 
transmission for leaf curl virus is through whiteflies
virus can be introduced into a region through infected plant materials i.e., seedlings or saplings. 
maximum disease incidence happens at 6 week old seedlings and increses gradually with age
Rainfall prior to seeding may result in whiteflies due to abundance of food
increase infection rate in temperature ranging from maximun 33-45 C and minimum  25-30 C
end of June about 45-55 days after sowing and spread rapidly in July"
Curl Virus,Physical_measures,"Use yellow sticky traps for mass trapping of whiteflies
Removal of weed hosts during the growing season and off season, which are alternate hosts to CLCuD
Install 6 – 8  yellow sticky traps for per acre field to control the whitefly population. "
Curl Virus,Biological,"Canola oil + Bifenthrin 10% EC
Azadirachtin (dosage: 1–2 ml/L water)
Fatty acid-based plant extracts (dosage: 3 ml/Litre)
Beauveria bassiana (dosage: 2.5 ml/L water)
VC-100 (dosage: 5 g/L water)
V-Bind (dosage: 2–3 ml/L water
Manganese 12% (dosage: 2.5 ml/L water)
Foliar application of neem leaf extract and 1% neem oil
Neem oil + surfactant (dosage: 3 + 500 ml/ha)
Fish oil resin soap (dosage: 14–15 kg/ha)"
Curl Virus,Insecticides,"Diafenthiuron + Imidacloprid (dosage: 250 ml/acre)
Acetamiprid 20% SP (dosage: 125 g/acre during May, June, and July)
Diafenthiuron (Insect Growth Regulator) (dosage: 200 g/acre)
Buprofezin (dosage: after mid-August, 320 ml/acre)
Spiromesifen (dosage: 200 ml/acre)
Pyriproxyfen (dosage: 400–500 ml/acre)
Ethion (restricted use, dosage: 800 ml/acre later in season)
Spiromesifen (for higher egg and nymph population, dosage: 250 ml/acre)
Lonicamid 50 WG (for mixed infestation of whitefly and leafhopper, dosage: 80 g/acre)
Azadirachtin 0.15% EC (Neem seed kernel based, dosage: 2500–5000 g/ml diluted in 500–1000 L/ha; waiting period: 5 days)
Methyl Demeton 25 EC (dosage: 500–700 ml/ha)
Phosalone 35 EC (dosage: 2.5–3 L/ha)
Clothianidin 50% WDG (dosage: 20–25 g active ingredient per hectare using 40 g/ml of formulation diluted in 500 L water; waiting period: 20 days before harvest)"
Curl Virus,Pesticides,"Azadirachtin 0.03% WSP (dosage: 2.5–5.0 L/ha)
Azadirachtin 0.15% EC (dosage: 2.5–5.0 L/ha)
Triazophos 40% EC (dosage: 1.5 L/ha)
Ethion 50% EC (dosage: 2.0 L/ha)
Dinotefuran 20% SG (dosage: 0.2 g/L water)
Imidacloprid 17.8% SL (dosage: 1 ml/L water)
Thiamethoxam 25% WG (dosage: 0.3 g/L water)
Cyantraniliprole 10.26% OD (dosage: 1.5 ml/L water)
Acetamiprid 20% SP (dosage: 0.2 g/L water)
Fipronil 40% + Imidacloprid 40% WG (dosage: 0.3 g/L water)
Diafenthiuron 47% + Bifenthrin 9.4% SC (dosage: 1.25 ml/L water)
Methyl demeton (dosage: NA)
Triazophos + Acetamiprid 20% SC (dosage: NA)"
Curl Virus,Preventive_measeures,"Eradicate weeds in fields and surrounding areas
Continuous rogueing of CLCV-infected plants
Practice crop rotation with non-host crops
Seed treatment with Imidacloprid 600 FS (5 ml/kg) & Thiamethoxam 25% w/w (250 g/kg seed)
Destroy affected plants
Avoid growing American cotton near citrus orchards
Avoid growing okra (Bhindi) near cotton fields
Avoid excessive use of nitrogenous fertilizers
Avoid synthetic pyrethroids when whitefly population exists
Encourage sowing of Desi cotton
Ensure thorough coverage of the lower surface of cotton leaves during spraying
Eliminate volunteer perennial cotton
Remove alternate hosts, including malvaceous hosts like wild okra
Manage planting dates to avoid peak vector populations
Use yellow sticky traps: 12 traps/acre (moderate infestation) or 15 traps/acre (heavy infestation)
Carbosulfan 25% DS (dosage: apply 60 g/kg of seeds)"
,,
Aphids,Symptoms,"Attacks tender shoots and lower surface of leaves and sucks the sap. 
Leaves curl and shrink. 
When the infection is severe, the plant appears scorched. 
Grows sooty fungus, which turns the plant black. 
Severe infestation can cause leaves and shoots to curl, wilt or yellow and stunt plant growth.
A general decline in plant vigor will be noticed. 
Aphids produce honeydew that can cause development of mold on the leaves.  
Activity of ants on the aphid-infested plants is common.
aphids secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants.
distorted, necrotic spots on leaves 
Blighted appearance when infestation  is severe"
Aphids,Favorable_Conditions,"Due to change in weather 
When there is excessive weed in the field 
Mild temperatures, typically between 18°C and 27°C  "
Aphids,Physical_measures,"simply rinse them off the leaves of affected plants with water hose and nozzle with adequate pressure is enough to knock the aphids from the foliage, but not to damage the plant. 
Prun out infested plants and leaves , if in limited number 
Tapas Yellow Sticky Traps at the rate of 6-8 traps per acre "
Aphids,Biological,"Azadirachtin (dosage: 0.03% EC; 2000 g/ml formulation diluted in 500 L water per hectare; waiting period: 5 days before harvest)
Verticillium lecanii (dosage: 2 ml/L water)
Release parasitoids such as Aphelinus sp. to control cotton aphid populations
Release natural predators such as ladybird beetles, green lacewing, hoverflies, and spiders
Add neem products or detergent/soap powder at 1 g/L spray fluid for uniform suspension
Spray 5% neem seed kernel extract prepared on-farm or crude neem oil spray at 1%"
Aphids,Insecticides,"Methyl demeton 25 EC (dosage: 500ml/ha) 
Dimethoate 30 EC (dosage: 500ml/ha)) 
Acetamiprid 20%SP (dosage:50 g/ha) 
Buprofezin 25% SC(dosage:1000 ml/ha) 
Carbosulfan 25%DS  (dosage:60g/kg seed) 
Chlorpyrifos 20% EC  (dosage:1250 ml/ha) 
Diafenthiuron 50%WP  (dosage:600 ml/ha) 
Dimethoate 30%EC (dosage:660 ml/ha) 
Fipronil 5%SC  (dosage:1500-2000 ml/ha) 
Imidacloprid 70% WG  (dosage:30-35 kg/ha) 
Imidacloprid 17.8% SL (dosage:100 -125 ml/ha) 
Malathion 50% EC  (dosage:1000 ml/ha) 
Methyl demeton 25% EC  (dosage:1200 ml/ha) 
Profenofos 50% EC  (dosage:1000 ml/ha) 
Thiacloprid 21.7% SC (dosage:100-125 ml/ha) 
Thiamethoxam 25%WG (dosage:100 g/ha)  
Monocrotophos 36 % SL (dosage: Apply 175 g of active ingredient per hectare using 437 g/ml of formulation diluted in 500 liters of water.) "
Aphids,Preventive_measeures,"Do not sow late.
Use nitrogenous fertilizers judiciously.
Grow cowpea as an intercrop or on ridges to increase the number of natural enemies.
Treat the seeds with Beauveria bassiana at the rate of 10 g/kg.
Control insecticide use in order not to affect beneficial insects.
Maintain a high number of different varieties of plants around fields.
Control ant populations that protect aphids with sticky bands
Prune the branches of your trees or remove the bottom leaves of your plants to favour the ventilation of the canopy.
use tolerant varieties if available 
reflective mulches such as silver colored plastic can deter aphids from feeding on plants
Regularly remove weeds and other debris in and around cotton fields.
Avoid applying excessive dozes of nitrogenous fertilizers. "
,,
Fall Armyworm,Symptoms,"Ragged edged leaves: As the larva grows, its feeding habits result in the development of ragged edged holes on the leaves that vary in shape from round to oblong.  
Leaf damage: Irregular holes, defoliation, and serrated edges.
Boll damage: Larvae feed on bolls, causing discoloration and reduced yield.
Larval presence: Caterpillar larvae (2–5 cm long, brownish-green with dark stripes) seen on leaves/bolls, often at night.
Pupation: Pupae found in soil near affected plants.
Irregular holes in leaves: Fall armyworm larvae feed voraciously, creating irregular patterns of damage on leaves.
Skeletonized foliage: In severe infestations, leaves may be completely stripped, leaving only the veins.
Clusters of caterpillars: Fall armyworms often feed in groups, especially in the early stages of infestation"
Fall Armyworm,Favorable_Conditions,"Caterpillars will develop in temperatures between 11°c and 30°c  but their optimum temperature is 28°c
Frequent rainfall creates a favorable environment for the survival of eggs and larvae
xtreme weather events, especially mild, wet winters followed by drought conditions create the ideal environment for these armies to grow
Overall studies revealed that maize is the most preferred host followed by wheat and sorghum."
Fall Armyworm,Physical_measures,"Take action before bloom if ≥ 8 worms (≥1/4 inch) per 100 plants or when populations threaten to reduce square retention below 80 percent 
Take action after Boll formation if  ≥ 6% damaged squares and/or bolls and worms are present 
Fall Armyworm (FAW) Lure (Brand Tapas) 15 per Hectare 
Border crop: cowpea, sunflower, gingelly and marigold "
Fall Armyworm,Biological,"Release egg parasitoids such as Trichogramma pretiosum or Telenomus remus (dosage: 50,000 per acre weekly)
Beauveria bassiana (dosage: 2.5 ml/L water)
Bacillus thuringiensis (dosage: 10 ml/L water)
Azadirachtin (dosage: 3 ml/L water as oviposition deterrent one week after sowing)
Deep ploughing and application of neemcake (dosage: 50–100 mL/ha)
Common predators include big-eyed bugs, minute pirate bugs, damsel bugs, lacewing larvae, assassin bugs, spiders, lady beetles, and Collops beetles"
Fall Armyworm,Insecticides,"""Chlorantraniliprole (dosage: 272–334 ml/acre)
Emamectin benzoate (dosage: 236–354 ml/acre)
Flubendiamide (dosage: 59–88 ml/acre)
Indoxacarb (dosage: 272–334 ml/acre)
Methomyl (dosage: 710–1064 ml/acre, 0.22–0.34 kg/acre)
Methoxyfenozide (dosage: 118–295 ml/acre)
Novaluron (dosage: 177–354 ml/acre)
Profenofos (dosage: 354–473 ml/acre)
Spinosad (dosage: 63–85 ml/acre)
Thiodicarb (dosage: as per label)
Chlorantraniliprole (dosage: 0.4 ml/lit of water)
Spinetoram (dosage: 0.9 ml/lit of water)
Emamectin benzoate (dosage: 0.4–0.5 gm/lit of water)
Lambda cyhalothrin + Thiamethoxam (dosage: 0.5 ml/lit of water)
Emamectin benzoate (dosage: 0.5 gm/lit of water)
Novaluron + Indoxacarb (dosage: 2 ml/lit of water)
Chlorantraniliprole + Lambda cyhalothrin (dosage: 0.4–0.5 ml/lit of water)"""
Fall Armyworm,Preventive_measeures,"Deep Plough: Disrupt the soil profile ahead of your planting date to destroy any surviving pupae that might be hiding in the soil.
Plant Smart: Plant early and make use of trap crops such as Napier grass that can be grown on the edges of your fields.
Scout & Trap: Check for any signs of eggs/larvae regularly while using moth pheromone traps weekly.
Use Natural Controls: Provide bird perches and spray natural biopesticides i.e. Neem or Bt first before anything else.
Put Fertilizer at Bay: Don’t put too much nitrogen fertilizer down as that will attract this pest.
Rotate the Chemicals: Use recommended insecticides only if you cannot control the infestation by other means and rotate the usage of the insecticides."
,,
Powdery Mildew,Symptoms,"Irregular to angular pale translucent lesions bound by veinlets and grey powdery growth appear on lower surface of leaf 
Correspondingly light green specks appear on the upper surface of leaves. 
In severe cases whitish grey powdery growth appear on upper surface 
The affected leaves dry up inward, turn yellow and fall prematurely. 
Appear towards the end of the growing season. On older leaves, small, light green to yellowish, angular spots,  
Whitish grey powdery growth just beneath the spots on lower side  
Both surfaces become covered with silvery white fungal growth  
Infected bolls lose strength, open prematurely or break during pulling and threshing at harvest.  "
Powdery Mildew,Favorable_Conditions,"Wet humid conditions during winter cotton season 
Intermittent rains during North-East monsoon season 
Low temperature (20-30 0C) during October-January 
Close planting 
Excessive application of nitrogenous fertilizers 
Very early sowing or very late sowing of cotton 
thrives in warm environment"
Powdery Mildew,Physical_measures,"Remove and burn the infected crop residues. 
Remove the self-sown cotton plants during summer months. 
Cutting off any infected plant parts — leaves, stalks, buds.  
Spraying the leaves with water first thing in the morning to wash away fungal spores.   "
Powdery Mildew,Biological,"bacteria (Bacillus circulans and Serratia marcescens) have been used to control.  
Sulfur and Fish Oil + Sesame Oil  
Neem oil  
Milk  "
Powdery Mildew,Fungisides,"Propiconazole or Hexaconazole (dosage: 2 ml/L, interval of 10 days)
Kresoxim-Methyl 44.3% SC
Carbendazim 12% + Mancozeb 63% WP
Azoxystrobin 18.2% SC + Difenoconazole 11.4% SC
Copper sulfate
Metal salt fungicides
Potassium bicarbonate (dosage: 10 g/L)
Hydrogen peroxide 3% (dosage: apply to both sides of leaves; repeat once a week if necessary)
Tebuconazole (dosage: 1 ml/L and 200 ml/acre)
Hexaconazole 5% SC (dosage: 2 ml/L and 300 ml/acre)
Propiconazole 25% EC (dosage: 1 ml/L spray)
Azoxystrobin (dosage: 2 ml/L and 300 ml/acre)"
Powdery Mildew,Pesticides,"Wettable sulphur (dosage: Spray 400g/acre) 
Chlorothalonil (dosage: 200 g / acre) 
Difenaconazole (dosage: 100 ml/ acre) 
Kresoxim Methyl (dosage: 200 ml/ acre) 
Tebuconazole (dosage: 200 ml/ acre) 
Propiconazole (dosage: 2020ml/ acre)
Metiram 55% + Pyraclostrobin 5% WG (dosage: 200g/ acre) 
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC (dosage: 200ml/ acre after 60 , 90 and 120 DAS) 
sulphur powder (dosage: Dust 8-10 kg/ hactare)  "
Powdery Mildew,Preventive_measeures,"Avoid excessive application of nitrogenous fertilizers/manures. 
Adopt correct spacing based on soil conditions and varieties. 
Pseudomonas fluorescens (10g/kg seeds)  every 10 days  
Water plants in the morning so plants dry during the day.   
Use a drip irrigation system and avoid overhead irrigation to minimize leaf wetness.   
Destroy volunteer crops from previous seasons.   
Do not sow to early or too late during the season.   
 Plant on raised ridges to improve drainage.   
Implement 2- or 3-year crop rotation with non-hosts, for example cereals.   
Avoid excessive application of nitrogenous fertilizers or manures.  "
,,
Cotton Boll Rot,Symptoms,"Initial symptoms on bolls: small brown to black spots with a depressed center
Superficial fungal mycelial growth appears on bolls
Spots gradually turn black; bolls dry up
Some bolls show hard lock symptoms (remain closed)
Seed coat becomes very flinty (hard covering)
Disease appears as small brown or black dots which later enlarge to cover the entire bolls.
Infection spreads to inner tissues and rotting of seeds and lint occur.
Fruiting bodies of fungi are observed on the bolls .
Phytophthora boll rot: Soft, watery, black rot. 
Small brown/dark brown to black spots with depressed centers on bolls. 
Superficial fungal mycelia growth on boll surfaces. 
Spots enlarge, turn black, and bolls dry up. 
""Hard lock"" symptoms: Bolls remain closed, seed coats become flinty. 
Secondary saprophytic fungal infections may follow. 
Dark brown to black spots appear on the upper or lower side ofbolls. 
Spots on bolls are coalesce together with in five to seven days and coverthe entire bolls with rotting symptoms. 
Bolls may dry withoutopening or fall down from the plants after drying. 
White, brown or black fungal growth can be seen on entire boll surface in outside. 
Brown spots may appear in the joining places ofthe boll lobes. 
Rotten smell can be observed inside the locule with slimy substance. "
Cotton Boll Rot,Favorable_Conditions,"Excess moisture present in lower canopy of the plant due to incessant rain 
Cloudy weather and reduced sunlight during rainy season  
Wet condition and water stagnation in bracts facilitate the disease development 
Injury on bolls due to insect pests or mechanical damage favours the infection and disease development 
Robust vegetative growth with dense canopy 
Heavy rainfall during the square and boll formation stage. 
Punctures caused by the insects 
Closer spacing 
Excessive nitrogen application. 
High humidity. 
Frequent rainfall. 
Dense crop canopy. 
Humidity: High moisture promotes fungal growth. 
Temperature: Warm conditions (25–30°C) favor pathogens like Fusarium and Alternaria. 
Poor Sanitation: Infected crop debris and contaminated seeds perpetuate the disease. "
